0,label
"hello how can I help you I wait list under Pritam the road on the road Pune to Bombay and it's got broken up ok so can you please tell me your exact location for proximal location where you are going somewhere near DP
",2
"have you cross degree or your moving towards Negri I am not sure but I am new to this place I just to wait till and just started driving and its no broker no ok so I will connect you directly with the dealership of the service station in degree and you will feel expect a call back from the relation PC online
",2
"from this is the relation speaking in agri where exactly are you busy your vehicle in
",2
"it is somewhere just outside degree can I give me your number please yeah it's 9992 3567 ok thank you for giving your number I will get back to you as freedom system vehicle is out on the road to reach up to you
",2
"no but would you not be able to solve a problem so we need the engineer to be on the spot to assess the situation
",2
"this is like I am not understanding how long to wait on this place to get this thing pics on the highway to reach you very soon to give me a call immediately and the number and the next 10 minutes to assist you I hope they do that give me the number of the of your manager or somebody to whom I can expect this number of 7 so any text to me I don't have a paper Independent and send your SMS on your mobile number
",2
"anything else I can help you with no nothing thank you just send that way tell fast
",2
"hi how might I help you I hold up rundown under Pritam the street out and about Pune to Bombay and it has separated alright so would you be able to please reveal to me your definite area for proximal area where you are going some place close DP 
",2
"have you cross degree or your moving towards Negri I don't know but rather I am new to this spot I just to hold up till and just began driving and its no handle no alright so I will associate you legitimately with the business of the administration station in degree and you will feel expect a get back to from the connection PC on the web 
",2
"from this is the connection talking in agri where precisely are you occupied your vehicle in 
",2
"it is some place simply outside degree would i be able to give me your number please better believe it's 9992 3567 alright thank you for giving your number I will hit you up as opportunity framework vehicle is out making a course for reach up to you 
",2
"no yet would you not have the option to take care of an issue so we need the architect to be on the spot to evaluate the circumstance 
",2
"this resembles I am not seeing to what extent to look out for this spot to get this thing pics on the parkway to contact you very soon to call me promptly and the number and the following 10 minutes to help you I trust they do that give me the quantity of the of your chief or someone to whom I can expect this number of 7 so any content to me I don't have a paper Independent and send your SMS on your portable number 
",2
whatever else I can assist you with no nothing thank you simply send that way tell quick,2
